date,open,high,low,close,volume,log_return
2025-01-31,607.5,609.96,601.05,601.82,66566900,-0.005336174271617979
2025-02-03,592.67,600.29,590.49,597.77,65857200,-0.006752332693607451
2025-02-04,597.83,602.3,597.28,601.78,33457800,0.0066858654287108065
2025-02-05,600.64,604.37,598.58,604.22,30653100,0.004046440015445117
2025-02-06,605.99,606.45,602.63,606.32,35771500,0.0034695294770691197
2025-02-07,606.89,608.13,600.05,600.77,50788500,-0.009195733722667531
2025-02-10,604.03,605.5,602.74,604.85,26048700,0.0067683276247509526
2025-02-11,602.55,605.86,602.43,605.31,30056700,0.0007602300888389014
2025-02-12,599.2,604.55,598.51,603.36,45076100,-0.0032266899846492007
2025-02-13,604.48,609.94,603.2,609.73,40921300,0.010502202720036824
2025-02-14,609.94,610.99,609.07,609.7,26910400,-4.920331631344751e-05
2025-02-18,610.88,611.49,608.38,611.49,26749000,0.0029315688499782803
2025-02-19,610.08,613.23,609.56,612.93,31011100,0.002352135156081447
2025-02-20,611.54,611.68,607.02,610.38,36554000,-0.0041690228861182435
2025-02-21,610.16,610.3,599.47,599.94,76519800,-0.01725206381789887
2025-02-24,602.02,603.03,596.49,597.21,50737200,-0.004560839881861268
2025-02-25,597.15,597.89,589.56,594.24,58266500,-0.004985532169610801
2025-02-26,595.93,599.58,591.86,594.54,43321600,0.0005047191345218317
2025-02-27,596.85,598.02,584.65,585.05,74196700,-0.016090683633896055
2025-02-28,585.56,594.72,582.44,594.18,88744100,0.015484990096299429
2025-03-03,596.18,597.34,579.9,583.77,74249200,-0.01767523412309218
2025-03-04,579.71,585.39,572.25,576.86,109648200,-0.01190746688596688
2025-03-05,576.69,584.88,573.08,583.06,71230500,0.010690494254774401
2025-03-06,575.48,580.17,570.12,572.71,80094900,-0.017910616610670373
2025-03-07,570.9,577.39,565.63,575.92,81158800,0.005589281764736165
2025-03-10,567.59,569.54,555.59,560.58,99326600,-0.02699680012812802
2025-03-11,559.4,564.02,552.02,555.92,88102100,-0.008347563026847447
2025-03-12,562.17,563.11,553.69,558.87,69588200,0.005292488963655007
2025-03-13,558.49,559.11,549.68,551.42,74079400,-0.013420118728424427
2025-03-14,556.11,563.83,551.49,562.81,62660300,0.02044532414242739
2025-03-17,562.79,569.71,562.35,567.15,49008700,0.007681725621321671
2025-03-18,564.8,565.02,559.06,561.02,66041400,-0.010867263493937702
2025-03-19,562.83,570.95,561.63,567.13,66556000,0.010831998832651152
2025-03-20,563.33,570.57,562.6,565.49,62958200,-0.002895942409903512
2025-03-21,559.28,564.89,558.03,563.98,83763000,-0.0026738220574662338
2025-03-24,570.8,575.15,570.2,574.08,58766800,0.01774996955398149
2025-03-25,575.3,576.41,573.69,575.46,38355700,0.002400961537538268
2025-03-26,575.19,576.33,567.19,568.59,51848300,-0.012010108961596242
2025-03-27,567.18,570.9,564.94,567.08,42164200,-0.002659224756887704
2025-03-28,565.53,566.27,555.07,555.66,71662700,-0.020343790839198347
2025-03-31,549.83,560.71,546.87,559.39,95328200,0.00669030790181233
2025-04-01,557.45,562.94,553.68,560.97,54609600,0.002820523844933686
2025-04-02,555.05,567.42,554.81,564.52,76014500,0.00630838438882758
2025-04-03,545.11,547.97,536.7,536.7,125986000,-0.05053653336302296
2025-04-04,523.67,525.87,505.06,505.28,217965100,-0.060326548115506085
2025-04-07,489.19,523.17,481.8,504.38,256611400,-0.0017827788332160732
